SeqName	Description
Gene_009294	hypothetical protein pbra 006353
Gene_009295	mfs-type transporter slc18b1-like
Gene_009296	heat shock cytosolic
Gene_009298	hd phosphohydrolase domain-containing
Gene_009299	glycoside hydrolase family 16
Gene_009300	hypothetical protein pbra 006347
Gene_009301	hypothetical protein pbra 006347
Gene_009302	hypothetical protein pbra 006346
Gene_009304	lysosomal aspartic protease-like
Gene_009305	nucleolar 56-like
Gene_009306	n-acetyltransferase esco2
Gene_009307	mfs-type transporter slc18b1-like
Gene_009308	mfs-type transporter slc18b1-like
Gene_009309	hypothetical protein pbra 006341; partial
Gene_009310	fk506-binding 59 isoform x2
Gene_009311	probable e3 ubiquitin-ligase log2
Gene_009312	mitochondrial pyruvate carrier 1-like [tarenaya hassleriana]
Gene_009313	hypothetical protein pbra 004929
Gene_009314	hypothetical protein pbra 006337
Gene_009315	pc12g11630 [penicillium rubens wisconsin 54-1255]
Gene_009316	hypothetical protein pbra 007708
Gene_009317	hypothetical protein pbra 009556
Gene_009318	hypothetical protein pbra 006335
Gene_009319	anaphase-promoting complex subunit
Gene_009320	anaphase-promoting complex subunit 1
Gene_009321	lunapark isoform x3
Gene_009322	eukaryotic membrane
Gene_009323	hypothetical protein pbra 006331
Gene_009324	hypothetical protein pbra 006331
Gene_009325	hypothetical protein pbra 006331
Gene_009327	hypothetical protein pbra 006330
Gene_009328	hypothetical protein pbra 006328; partial
Gene_009329	hypothetical protein pbra 006329
Gene_009330	hypothetical protein pbra 006329
Gene_009331	hypothetical protein pbra 006329
Gene_009332	hypothetical protein pbra 006329
Gene_009333	non-canonical poly(a) rna polymerase papd5
Gene_009335	hypothetical protein pbra 006328; partial
Gene_009336	hypothetical protein pbra 005175
Gene_009337	hypothetical protein pbra 006330
Gene_009338	hypothetical protein pbra 006328; partial
Gene_009339	hypothetical protein pbra 006328; partial
Gene_009340	hypothetical protein pbra 006328; partial
Gene_009342	p-loop containing nucleoside triphosphate hydrolase
Gene_009344	hypothetical protein pbra 007631
Gene_009345	suppressor of zeste 12 homolog (drosophila) a
Gene_009346	mfs transporter
Gene_009348	mfs transporter
Gene_009350	ribosomal s6 kinase alpha-5 isoform x2
Gene_009351	hypothetical protein pbra 006323
Gene_009352	zinc finger ccch domain-containing 11
Gene_009353	rna methyltransferase family
Gene_009354	nudix hydrolase 8-like
Gene_009355	vac14 homolog isoform x2
Gene_009356	hypothetical protein pbra 006318
Gene_009357	wd repeat-containing 61
Gene_009358	ohcu decarboxylase
Gene_009359	serine threonine-phosphatase mitochondrial-like
Gene_009360	hypothetical protein pbra 006315
Gene_009361	hypothetical protein pbra 006313
Gene_009362	hypothetical protein pbra 006313
Gene_009363	lysosomal aspartic protease
Gene_009364	hypothetical protein pbra 006311
Gene_009365	tbc1 domain family member 19
Gene_009366	dna-deoxyinosine glycosylase
Gene_009367	baculoviral iap repeat-containing 6-like
Gene_009368	charged multivesicular body 7
Gene_009369	serine threonine kinase
Gene_009370	xylulose kinase
Gene_009371	hypothetical protein pbra 006305
Gene_009372	hypothetical protein pbra 006304
Gene_009373	histone h3
Gene_009374	histone h4
Gene_009375	progesterone-induced-blocking factor 1
Gene_009376	dna polymerase
Gene_009377	hypothetical protein pbra 006300
Gene_009378	aaa family atpase
Gene_009379	tetratricopeptide repeat
Gene_009380	hydrogenase maturation
Gene_009381	battenin-like isoform x1
Gene_009382	transmembrane 135 homolog isoform x2
Gene_009383	tbc1 domain family member 20 isoform x1
Gene_009385	vacuolar sorting-associated 33a
Gene_009386	2-aminoethanethiol dioxygenase
Gene_009387	kinesin kif6 isoform x2
Gene_009388	vacuolar sorting-associated 53 a
Gene_009389	vacuolar sorting-associated 53 homolog
Gene_009390	multidrug oligosaccharidyl-lipid polysaccharide flippase superfamily
Gene_009391	dnaj heat shock
Gene_009393	hypothetical protein pbra 006287
Gene_009394	hypothetical protein pbra 001635
Gene_009395	cu zn-superoxide dismutase
Gene_009398	agc kinase
Gene_009400	hypothetical protein pbra 002665
Gene_009401	hypothetical protein pbra 006284
Gene_009402	hypothetical protein pbra 006282
Gene_009405	hypothetical protein pbra 009553
Gene_009406	potassium sodium efflux p-type fungal-type
Gene_009407	calcium atpase
Gene_009408	regulator of g signaling superfamily
Gene_009409	regulator of g-signaling 21-like isoform x1
Gene_009410	hypothetical protein pbra 008809
Gene_009411	ino80 complex subunit b-like
Gene_009412	double-strand-break repair rad21 homolog
Gene_009414	intraflagellar transport 43
Gene_009415	[naegleria gruberi]
Gene_009418	hypothetical protein pbra 008814
Gene_009419	regulator of g-signaling 18
Gene_009420	hypothetical protein pbra 008816
Gene_009421	alanine-glyoxylate aminotransferase family
Gene_009422	hypothetical protein pbra 008818
Gene_009423	pterin-4-alpha-carbinolamine dehydratase
Gene_009424	transducin beta 3
Gene_009425	phosphatase 2c-related
Gene_009426	ubx domain-containing 1-like isoform x2
Gene_009427	isoprenylcysteine alpha-carbonyl methylesterase icme-like
Gene_009428	hypothetical protein pbra 008823
Gene_009429	rho gtpase-activating 44-like
Gene_009430	nucleoporin autopeptidase
Gene_009432	hypothetical protein pbra 009661
Gene_009433	ribosomal rna small subunit methyltransferase nep1
Gene_009434	hypothetical protein pbra 008827
Gene_009435	tkl drk kinase
Gene_009436	tigger transposable element-derived 6-like
Gene_009437	hypothetical protein pbra 009391
Gene_009438	hypothetical protein pbra 009392
Gene_009439	rna-binding
Gene_009440	syntaxin-5 isoform x2
Gene_009441	hypothetical protein pbra 009394
Gene_009442	agc pka kinase
Gene_009445	tigger transposable element-derived 6-like
Gene_009446	ste ste11 cdc15 kinase
Gene_009447	hypothetical protein pbra 009399
Gene_009448	hypothetical protein pbra 009399
Gene_009449	myosin id heavy chain
Gene_009450	leukocyte receptor cluster member 8 homolog
Gene_009451	hypothetical protein pbra 009401
Gene_009453	coatomer subunit delta
Gene_009454	hypothetical protein pbra 009403
Gene_009455	d3-like isoform x1
Gene_009456	hypothetical protein pbra 009405
Gene_009457	hypothetical protein pbra 009406
Gene_009458	hypothetical protein pbra 009406
Gene_009459	hypothetical protein pbra 009556
Gene_009460	hypothetical protein pbra 009555
Gene_009461	hypothetical protein pbra 009553
Gene_009462	hypothetical protein pbra 009661
Gene_009463	[micromonas commoda]
Gene_009464	hypothetical protein pbra 000752; partial
Gene_009465	hypothetical protein pbra 009681
Gene_009466	rna-directed dna polymerase (reverse transcriptase) domain containing
Gene_009467	hypothetical protein pbra 009681
Gene_009468	[micromonas commoda]
Gene_009469	serine threonine-kinase
Gene_009470	hypothetical protein pbra 007496
Gene_009471	flagellar microtugule protofilament ribbon
Gene_009472	hypothetical protein pbra 005951
Gene_009473	hypothetical protein pbra 005952
Gene_009474	hypothetical protein pbra 005953
Gene_009475	calmodulin cam1
Gene_009476	hypothetical protein pbra 009717; partial
Gene_009477	ancient conserved domain 2
Gene_009478	tyrosine phosphatase family-domain-containing
Gene_009479	mitochondrial ribosomal
Gene_009480	hypothetical protein pbra 005959
Gene_009481	probable atp-dependent rna helicase ddx56
Gene_009482	gdp-l-fucose synthetase
Gene_009483	mpv17 pmp22 family
Gene_009484	glycine dehydrogenase (aminomethyl-transferring)
Gene_009485	hypothetical protein pbra 005964
Gene_009486	integrator complex subunit 3 isoform x1
Gene_009487	alanine acetyltransferase
Gene_009488	hypothetical protein pbra 005966
Gene_009489	hypothetical protein pbra 005967
Gene_009490	zinc finger 593-like
Gene_009491	hypothetical protein pbra 005969
Gene_009492	erythromycin esterase
Gene_009493	hypothetical protein pbra 005971
Gene_009494	hypothetical protein pbra 008161
Gene_009495	nadph-cytochrome p450 reductase
Gene_009496	hypothetical protein pbra 005973
Gene_009497	e3 ubiquitin-ligase aip2
Gene_009498	gtpase era
Gene_009499	hypothetical protein pbra 005976
Gene_009500	parkin coregulated
Gene_009501	ribosome biogenesis atpase rix7
Gene_009502	hypothetical protein pbra 005980
Gene_009503	ubiquitin atg12
Gene_009504	hypothetical protein pbra 005982
Gene_009505	kinesin family member
Gene_009506	hypothetical protein pbra 005985
Gene_009507	pre-mrna polyadenylation factor fip1
Gene_009508	hypothetical protein pbra 005987
Gene_009513	mitogen-activated kinase 7-like
Gene_009515	metal-dependent hydrolase
Gene_009516	glutaredoxin-3 [xenopus tropicalis]
Gene_009517	ankyrin repeat
Gene_009518	serine threonine
Gene_009519	hypothetical protein pbra 009453
Gene_009520	hypothetical protein pbra 003919; partial
Gene_009522	hypothetical protein pbra 005993
Gene_009523	pleiotropic regulator 1
Gene_009524	hypothetical protein pbra 005995
Gene_009525	hypothetical protein pbra 005996
Gene_009526	hypothetical protein pbra 005998
Gene_009527	hypothetical protein pbra 005999
Gene_009528	hypothetical protein pbra 006000
Gene_009529	[naegleria gruberi]
Gene_009530	structural maintenance of chromosomes flexible hinge domain-containing 1
Gene_009531	hypothetical protein pbra 006003
Gene_009532	rna binding
Gene_009533	lysine-specific demethylase 4b
Gene_009534	polysaccharide deacetylase domain-containing
Gene_009535	sm lsm8
Gene_009536	duf89-domain-containing
Gene_009537	cold shock domain-containing e1-like isoform x1
Gene_009538	hypothetical protein pbra 006003
Gene_009539	alpha-tubulin n-acetyltransferase 1 isoform x6
Gene_009540	hypothetical protein pbra 006011
Gene_009541	syntaxin-81 isoform x1
Gene_009542	hypothetical protein pbra 009717; partial
Gene_009543	hypothetical protein pbra 006013
Gene_009544	ubiquitin-conjugating enzyme e2-ubiquitin ligase
Gene_009546	sphingomyelin phosphodiesterase 4-like
Gene_009547	calcium-transporting atpase sarcoplasmic endoplasmic reticulum type-like isoform x7
Gene_009548	hypothetical protein pbra 006018
Gene_009549	pentatricopeptide repeat-containing at3g16610
Gene_009550	acylpyruvase mitochondrial
Gene_009551	hypothetical protein pbra 006020
Gene_009552	cbs domain-containing
Gene_009554	cell division cycle 5
Gene_009556	pep carboxykinase
Gene_009557	pep carboxykinase
Gene_009560	poly(a) rna polymerase (macronuclear)
Gene_009561	peptide deformylase
Gene_009562	cysteine ase 3-like
Gene_009563	dihydroorotase
Gene_009564	methionyl-trna mitochondrial isoform x1
Gene_009565	beta-ketoacyl-[acyl-carrier-] synthase ii
Gene_009566	phytochrome-associated serine threonine phosphatase
Gene_009567	gamma-tubulin complex component 4-like
Gene_009568	lactate dehydrogenase b
Gene_009569	jerky homolog-like
Gene_009570	hypothetical protein pbra 002000
Gene_009573	cilia- and flagella-associated 44-like isoform x3
Gene_009574	hypothetical protein pbra 006034
Gene_009575	hypothetical protein pbra 006035
Gene_009576	hypothetical protein pbra 006036
Gene_009577	ubiquitin-like-conjugating enzyme atg3
Gene_009578	hypothetical protein pbra 006038
Gene_009579	hypothetical protein pbra 006038
Gene_009580	5-phosphate dependent
Gene_009582	hypothetical protein pbra 006040
Gene_009583	snf1-related kinase catalytic subunit alpha kin10
Gene_009584	snf1-related kinase catalytic subunit alpha kin10
Gene_009585	hypothetical protein pbra 006044
Gene_009586	hypothetical protein pbra 006044
Gene_009587	phosphoenolpyruvate synthase
Gene_009588	hypothetical protein pbra 006047
Gene_009589	adp-ribose pyrophosphatase
Gene_009590	hypothetical protein pbra 006049
Gene_009591	hypothetical protein pbra 006050
Gene_009592	hypothetical protein pbra 006050
Gene_009593	achain crystal structure of darpin-darpin rigid variant dd off7 10 3g124 in complex with maltose-binding and green fluorescent
Gene_009594	hypothetical protein pbra 006051
Gene_009595	hypothetical protein pbra 006052
Gene_009596	hypothetical protein pbra 006053
Gene_009597	stam-binding-like a-like
Gene_009598	hypothetical protein pbra 006054
Gene_009600	1-phosphatidylinositol-4-phosphate 5-kinase
Gene_009601	hypothetical protein pbra 006056
Gene_009602	lrr and pyd domains-containing 12
Gene_009603	hypothetical protein pbra 006058
Gene_009604	coiled-coil domain-containing 65-like
Gene_009605	histone h2b
Gene_009606	alcohol dehydrogenase
Gene_009607	probable phosphatase 2c 59
Gene_009608	u2 snrnp-associated surp motif-containing
Gene_009609	acetyl-acyltransferase
Gene_009610	hypothetical protein pbra 006066
Gene_009611	ef hand family
Gene_009612	hypothetical protein pbra 006068
Gene_009613	cbl-interacting kinase 24
Gene_009614	ef-hand pair
Gene_009615	hypothetical protein pbra 003546
Gene_009618	hypothetical protein pbra 006071
Gene_009621	erad-associated e3 ubiquitin-ligase hrd1b-like
Gene_009622	phosphoenolpyruvate carboxykinase
Gene_009623	thump domain-containing
Gene_009624	alpha-tubulin n-acetyltransferase 1 isoform x3
Gene_009625	magnesium-translocating p-type atpase
Gene_009626	magnesium-transporting p-type 1
Gene_009627	hypothetical protein pbra 006078
Gene_009628	hypothetical protein pbra 006079
Gene_009629	tankyrase isoform x1
Gene_009630	testis-expressed sequence 9
Gene_009631	atp-binding cassette (abc) superfamily
Gene_009632	atp-binding cassette (abc) superfamily
Gene_009633	[skp1-]-hydroxyproline n-family gt60
Gene_009640	3 5-cyclic nucleotide phosphodiesterase domain-containing
Gene_009642	g-subunit alpha 1
Gene_009643	sumo activating enzyme
Gene_009644	peptidyl-prolyl cis-trans isomerase e
Gene_009645	hypothetical protein pbra 002371
Gene_009646	uncharacterized conserved
Gene_009647	flavo monooxygenase
Gene_009648	alkaline phosphatase family
Gene_009649	hypothetical protein pbra 006093
Gene_009650	glycosyltransferase family 8
Gene_009651	pi-plc x domain-containing 3 isoform x2
Gene_009652	hypothetical protein pbra 007109
Gene_009655	hypothetical protein pbra 006095
Gene_009656	potassium transporter
Gene_009657	39s ribosomal mitochondrial
Gene_009658	39s ribosomal mitochondrial-like
Gene_009660	fkbp-type peptidyl-prolyl cis-trans isomerase
Gene_009662	glucosidase 2 subunit beta-like isoform x3
Gene_009663	beta-ig-h3 fasciclin
Gene_009664	hypothetical protein pbra 006723
Gene_009665	hypothetical protein pbra 005500
Gene_009666	thymidine kinase
Gene_009667	hypothetical protein pbra 006102
Gene_009668	rna polymerase ii subunit a c-terminal domain phosphatase ssu72
Gene_009669	hypothetical protein pbra 006103
Gene_009673	hypothetical protein pbra 009629
Gene_009674	cbs domain containing
Gene_009675	cbs domain containing
Gene_009676	beta-galactosidase 7 isoform x1
Gene_009677	hypothetical protein pbra 008520
Gene_009678	hypothetical protein pbra 003548; partial
Gene_009679	hypothetical protein pbra 009727
Gene_009680	atp-binding cassette sub-family a member 5-like isoform x2
Gene_009684	tubulin polyglutamylase ttll5
Gene_009686	nadh dehydrogenase 1 alpha subcomplex subunit 11 ndufa11
Gene_009687	guanine nucleotide binding alpha subunit
Gene_009688	guanine nucleotide-binding g(t) subunit alpha-3
Gene_009689	hypothetical protein pbra 005601
Gene_009690	5-aminolevulinate synthase
Gene_009691	dynein light chain type 1-domain-containing
Gene_009692	hypothetical protein pbra 005604
Gene_009693	2-aminomuconate deaminase
Gene_009694	hypothetical protein pbra 005606
Gene_009695	hypothetical protein bvrb 041030; partial
Gene_009696	upf0586 c9orf41 homolog
Gene_009698	hypothetical protein pbra 005608
Gene_009699	hypothetical protein pbra 005609
Gene_009700	dead-box atp-dependent rna helicase 21-like
Gene_009703	acyl-coenzyme a oxidase peroxisomal
Gene_009704	trna (adeninen(1))methyltransferase noncatalytic subunit trm6
Gene_009705	nitric oxide synthase-interacting
Gene_009706	microsomal glutathione s-transferase 3-like
Gene_009707	hypothetical protein
Gene_009708	hypothetical protein pbra 005618
Gene_009710	hypothetical protein pbra 005616
Gene_009712	hypothetical protein pbra 005618
Gene_009714	f-box lrr-repeat 16-like
Gene_009715	t-complex 1 subunit eta
Gene_009716	hypothetical protein bvrb 041570
Gene_009717	zinc finger fyve domain-containing 1
Gene_009718	hypothetical protein pbra 005621
Gene_009719	2-oxoisovalerate dehydrogenase subunit mitochondrial-like
Gene_009720	long chain acyl-synthetase peroxisomal-like
Gene_009721	hypothetical protein bvrb 022560
Gene_009723	[micromonas commoda]
Gene_009725	[micromonas commoda]
Gene_009728	hypothetical protein pbra 005624
Gene_009729	probable serine threonine-kinase ddb g0282963
Gene_009730	molecular chaperone
Gene_009731	clp1 homolog
Gene_009732	hypothetical protein pbra 005629
Gene_009733	hypothetical protein pbra 005630
Gene_009734	major facilitator superfamily (mfs)
Gene_009735	carbohydrate-binding module family 18
Gene_009736	glycosyl hydrolase family 26
Gene_009737	hypothetical protein pbra 005633
Gene_009738	phosphofurin acidic cluster sorting 2
Gene_009739	[micromonas commoda]
Gene_009741	[micromonas commoda]
Gene_009743	adp-ribosylation factor family
Gene_009744	atp-dependent dna helicase-like isoform x1
Gene_009745	ketosteroid isomerase
Gene_009746	dna polymerase epsilon subunit b
Gene_009747	hypothetical protein pbra 006488
Gene_009748	ketosteroid isomerase
Gene_009749	multispecies: duf229 domain-containing
Gene_009750	hypothetical protein pbra 005640
Gene_009751	leucine-rich repeat domain-containing
Gene_009752	g2 mitotic-specific cyclin-a-like
Gene_009753	retinol dehydrogenase 10-a
Gene_009754	[micromonas commoda]
Gene_009755	flap endonuclease 1
Gene_009756	hypothetical protein pbra 005644
Gene_009757	peroxisomal biogenesis factor 3-like
Gene_009758	oxidoreductase htatip2
Gene_009759	hypothetical protein pbra 005647
Gene_009760	serine threonine family 2c
Gene_009761	adp-ribosylation factor [trypanosoma brucei brucei treu927]
Gene_009762	2-oxoglutarate (2og) and fe(ii)-dependent oxygenase superfamily
Gene_009764	hypothetical protein pbra 005651
Gene_009765	vacuolar-processing enzyme-like
Gene_009766	legumain
Gene_009767	hypothetical protein pbra 005654
Gene_009768	u3 small nucleolar rna-associated 15
Gene_009770	hypothetical protein pbra 009595
Gene_009772	electron transfer flavo subunit alpha
Gene_009773	[micromonas commoda]
Gene_009774	membrane associated serine rhomboid family
Gene_009775	hypothetical protein pbra 005659
Gene_009776	hypothetical protein pbra 005660
Gene_009777	peroxiredoxin q bcp
Gene_009778	abc transporter g family member 24 q9mag3
Gene_009779	pep carboxykinase
Gene_009780	kinase
Gene_009781	serine arginine repetitive matrix 1-like
Gene_009782	[naegleria gruberi]
Gene_009783	hypothetical protein pbra 008628
Gene_009784	wd40 repeat-containing
Gene_009785	serine threonine-phosphatase 2a 65 kda regulatory subunit a beta isoform
Gene_009786	gpi-anchored wall transfer 1
Gene_009787	phospholipase abhd3-like isoform x1
Gene_009788	hypothetical protein pbra 005670
Gene_009789	rna polymerase-associated leo1
Gene_009790	transmembrane and coiled-coil domain-containing 1
Gene_009791	hypothetical protein pbra 005674
Gene_009792	serinc-domain containing serine and sphingolipid biosynthesis
Gene_009793	atp synthase subunit
Gene_009794	hypothetical protein pbra 005685
Gene_009795	hypothetical protein pbra 005677
Gene_009796	[micromonas commoda]
Gene_009797	50s ribosomal l15
Gene_009798	prefoldin beta
Gene_009799	hypothetical protein pbra 005679
Gene_009800	hypothetical protein pbra 005680
Gene_009801	cytochrome c oxidase assembly cox19
Gene_009802	[micromonas commoda]
Gene_009803	[micromonas commoda]
Gene_009804	hypothetical protein pbra 005683
Gene_009805	aspartate aminotransferase family
Gene_009806	[micromonas commoda]
Gene_009807	superkiller viralicidic activity 2-like 2
Gene_009808	proteasome stabiliser-domain-containing
Gene_009809	arm repeat-containing
Gene_009810	arm repeat superfamily
Gene_009812	hypothetical protein pbra 005688
Gene_009813	hypothetical protein pbra 005689
Gene_009814	traf3-interacting 1 isoform x2
Gene_009815	hypothetical protein pbra 005691
Gene_009816	phage tail
Gene_009817	microcystin-dependent
Gene_009818	phage tail
Gene_009819	hypothetical protein pbra 005695
Gene_009820	hypothetical protein pbra 005696
Gene_009821	[micromonas commoda]
Gene_009823	hypothetical protein pbra 005697
Gene_009824	hypothetical protein pbra 005698
Gene_009825	bardet-biedl syndrome 5
Gene_009826	tubulin alpha chain
Gene_009827	muscle calcium channel subunit alpha-1
Gene_009828	hypothetical protein pbra 005701
Gene_009829	dnaj heat shock n-terminal domain-containing
Gene_009830	hypothetical protein pbra 005703
Gene_009831	hypothetical protein pbra 005705
Gene_009832	glycerophosphodiester phosphodiesterase gde1
Gene_009833	hypothetical protein pbra 005706
Gene_009834	beach domain-containing lvsc-like isoform x1
Gene_009835	beach domain-containing b isoform x1
Gene_009836	gtp-binding 1 isoform x2
Gene_009837	gtp-binding 1-like
Gene_009838	pescadillo containing brct domain
Gene_009839	hypothetical protein pbra 005711
Gene_009840	lipase family
Gene_009841	scavenger mrna-decapping enzyme
Gene_009842	transmembrane 216-like
Gene_009843	serine arginine-rich splicing factor rs2z32 isoform x1
Gene_009844	hypothetical protein pbra 005716
Gene_009845	exodeoxyribonuclease 1
Gene_009846	inositol 5-phosphatase 4
Gene_009847	multiple inositol polyphosphate phosphatase
Gene_009848	inositol 5-phosphatase 4
Gene_009850	hypothetical protein pbra 005719
Gene_009851	regulator of g signaling
Gene_009852	hypothetical protein pbra 005720
Gene_009853	hypothetical protein pbra 005414
Gene_009856	hypothetical protein pbra 005722
Gene_009857	wd40 repeat compass complex
Gene_009858	hypothetical protein pbra 007218
Gene_009859	hypothetical protein pbra 005724
Gene_009860	snare
Gene_009861	wd40 repeat
Gene_009862	hypothetical protein pbra 005727
Gene_009863	microtubule-associated rp eb family member 1-like isoform x2
Gene_009866	hypothetical protein pbra 005729
Gene_009869	tigr00266 family
Gene_009870	trna guanosine-2-o-methyltransferase
Gene_009872	variable lymphocyte
Gene_009873	hypothetical protein pbra 004854
Gene_009874	pas domain s-box
Gene_009875	pas domain s-box
Gene_009876	pas domain s-box
Gene_009877	duf2235 domain-containing
Gene_009878	hypothetical protein pbra 005737
Gene_009879	tetratricopeptide repeat 1
Gene_009880	bax inhibitor family
Gene_009881	ornithine mitochondrial
Gene_009882	serine threonine-kinase
Gene_009883	hypothetical protein pbra 005743
Gene_009884	u4 small nuclear ribonucleo 27 kda
Gene_009885	agc pka kinase
Gene_009886	jouberin isoform b
Gene_009888	probable n-acetyltransferase san
Gene_009889	dnaj homolog subfamily c member 2-like
Gene_009890	ubiquitin conjugating
Gene_009891	hypothetical protein pbra 005750
Gene_009892	catalase
Gene_009893	hypothetical protein pbra 005752
Gene_009894	hypothetical protein pbra 005752
Gene_009895	serine (macronuclear)
Gene_009896	neurochondrin homolog
Gene_009898	helicase iv
Gene_009899	zinc finger ozf-like
Gene_009900	exocyst complex component sec15
Gene_009901	tbc1 domain family
Gene_009902	zinc finger 25 isoform x1
Gene_009903	ras let-60
Gene_009904	wd40 repeat
Gene_009905	diphthamide biosynthesis
Gene_009906	diphthamide biosynthesis 2
Gene_009907	e3 ubiquitin-ligase nrdp1
Gene_009908	dna-directed rna polymerases and iii subunit rpabc1
Gene_009909	c6 zinc finger domain-containing
Gene_009910	glycosyl hydrolase
Gene_009911	sulfate exporter family transporter
Gene_009912	wd40 repeat
Gene_009913	[micromonas commoda]
Gene_009915	hypothetical protein pbra 005770
Gene_009916	hypothetical protein pbra 005771
Gene_009917	glycosyltransferase uncharacterized
Gene_009918	tpr [caballeronia sordidicola]
Gene_009919	pogo transposable element
Gene_009920	hypothetical protein pbra 005774
Gene_009921	actin binding
Gene_009922	fcf1-domain-containing
Gene_009925	voltage-gated ion channel (vic) superfamily
Gene_009926	voltage-gated ion channel (vic) superfamily
Gene_009927	cytochrome b561 ferric reductase transmembrane family
Gene_009928	serine threonine
Gene_009929	hypothetical protein pbra 005859
Gene_009930	beta-galactosidase 16-like
Gene_009931	beta-galactosidase 9 isoform x2
Gene_009932	beta-galactosidase 16
Gene_009933	subtilisin-like serine peptidase
Gene_009934	gpi ethanolamine phosphate transferase 3 isoform x2
Gene_009935	voltage-gated ion channel (vic) superfamily
Gene_009936	16s rrna (cytosine(1402)-n(4))-methyltransferase
Gene_009937	swi4 peter pan suppressor
Gene_009938	targeting for xklp2 homolog
Gene_009939	hypothetical protein pbra 005788
Gene_009940	puromycin-sensitive aminopeptidase-like
Gene_009941	puromycin-sensitive aminopeptidase
Gene_009942	arm repeat-containing
Gene_009943	chloride channel ( ) family
Gene_009944	hypothetical protein pbra 005793
Gene_009945	zgrf1-like isoform x4
Gene_009946	hypothetical protein pbra 005794
Gene_009947	sporangia induced deflagellation-inducible
Gene_009948	fatty acyl-synthetase
Gene_009949	lateral signaling target 2 homolog
Gene_009950	poz domain-containing
Gene_009951	flagellar basal body
Gene_009952	serine carboxypeptidase-like
Gene_009953	tripeptidyl-peptidase 2-like isoform x4
Gene_009954	hypothetical protein pbra 005804
Gene_009955	dihydroneopterin aldolase
Gene_009957	phosphate abc transporter substrate-binding
Gene_009958	phosphate abc transporter substrate-binding
Gene_009959	phosphate abc transporter substrate-binding
Gene_009960	f-box lrr-repeat 7-like isoform x2
Gene_009961	hypothetical protein pbra 005810
Gene_009962	vacuolar-sorting snf8
Gene_009963	resistance-nodulation-cell division superfamily
Gene_009964	cyclin 6
Gene_009965	hypothetical protein pbra 005814
Gene_009966	hypothetical protein pbra 005815
Gene_009967	suppressor of mec-8 and unc-52 homolog 2
Gene_009968	trna dimethylallyltransferase
Gene_009970	aaa family cdc48 subfamily
Gene_009971	hypothetical protein pbra 005819
Gene_009972	hypothetical protein pbra 005820
Gene_009973	glycoside hydrolase family 131
Gene_009975	methylmalonate-semialdehyde dehydrogenase [acylating] mitochondrial
Gene_009976	dna polymerase alpha subunit b-like
Gene_009977	hypothetical protein pbra 005822
Gene_009978	inosine-5-monophosphate dehydrogenase
Gene_009979	hypothetical protein pbra 005825
Gene_009980	arf-gap with rho-gap ank repeat and ph domain-containing 1-like isoform x8
Gene_009982	hypothetical protein pbra 005825
Gene_009983	zinc finger fyve domain-containing 1-like
Gene_009984	cell division cycle 45
Gene_009985	hypothetical protein pbra 005828
Gene_009986	hypothetical protein pbra 005829
Gene_009987	hypothetical protein pbra 005810
Gene_009988	hypothetical protein pbra 005830
Gene_009989	nadph-cytochrome p450 reductase isoform x1
Gene_009992	hypothetical protein pbra 005832
Gene_009994	mfs transporter
Gene_009995	mfs transporter
Gene_009996	amino acid transporter
Gene_009997	26s proteasome non-atpase regulatory subunit 5
Gene_009998	actin depolymerizing
Gene_009999	lipoyl mitochondrial
Gene_010000	mitochondrial phosphate carrier
Gene_010002	leucine rich repeat family (macronuclear)
Gene_010004	autophagy-related 9
Gene_010005	subpellicular microtubule
Gene_010006	serine:threonine phosphatase 2b
Gene_010007	hypothetical protein pbra 005842
Gene_010008	cytochrome c oxidase subunit vib
Gene_010009	hypothetical protein pbra 005844
Gene_010010	hypothetical protein pbra 005845
Gene_010011	heat shock 91
Gene_010013	saccharomyces cerevisiae yel013w vac8 phosphorylated and palmitoylated vacuolar membrane that interacts with atg13p
Gene_010014	hypothetical protein pbra 006639
Gene_010015	leucine-rich repeat and coiled-coil domain-containing 1
Gene_010016	hemerythrin 1
Gene_010017	n-alpha-acetyltransferase catalytic subunit
Gene_010018	ha-tagged kinase domain of mitogen-activated kinase kinase kinase
Gene_010019	xylosyltransferase 2
Gene_010020	nudix family
Gene_010021	rap1-interacting factor 1 n terminal-domain-containing
Gene_010024	duf4440 domain-containing
Gene_010025	hypothetical protein pbra 000385
Gene_010028	multisite-specific trna:(cytosine-c5)-methyltransferase
Gene_010029	origin recognition complex subunit 5
Gene_010030	snare-like superfamily
Gene_010031	ankyrin repeat
Gene_010032	gamma-aminobutyric acid type b receptor subunit 2
Gene_010033	hypothetical protein pbra 005858
Gene_010034	voltage-gated ion channel (vic) superfamily
Gene_010035	hypothetical protein bvrb 026250; partial
Gene_010036	cytochrome p450
Gene_010037	hypothetical protein pbra 005861
Gene_010038	calmodulin-regulated spectrin-associated 3-like isoform x7
Gene_010039	oxa1 family membrane insertase
Gene_010040	hypothetical protein pbra 005863
Gene_010041	amino acid
Gene_010042	amino acid
Gene_010043	serine threonine-phosphatase 4 regulatory subunit 2-a-like
Gene_010044	hypothetical protein pbra 005866
Gene_010047	very-long-chain (3r)-3-hydroxyacyl-dehydratase 2-like
Gene_010048	hypothetical protein pbra 005869
Gene_010049	diacylglycerol acyltransferase
Gene_010051	hypothetical protein pbra 005871
Gene_010052	lateral signaling target 2
